Name,Education Qualification,Gender,Community,Religion,Exservice-men,Disability,Sports,Annual-Percentage,Income,India,Outcome
Scholarship Scheme 876,Doctorate,Female,SC,Sikh,Yes,Yes,No,98.87,Low,Yes,1
Scholarship Scheme 877,Postgraduate,Female,SC,Hindu,Yes,No,Yes,58.84,Medium,Yes,1
Scholarship Scheme 878,Postgraduate,Female,OBC,Muslim,No,No,Yes,66.27,High,Yes,0
Scholarship Scheme 879,Undergraduate,All,General,Christian,Yes,Yes,Yes,77.04,Medium,Yes,0
Scholarship Scheme 880,Undergraduate,All,ST,Sikh,No,Yes,Yes,58.49,Low,Yes,0
Scholarship Scheme 881,Undergraduate,All,OBC,Sikh,Yes,Yes,Yes,51.11,High,Yes,0
Scholarship Scheme 882,Postgraduate,All,SC,Muslim,No,Yes,Yes,66.82,Low,Yes,1
Scholarship Scheme 883,Doctorate,All,OBC,Hindu,Yes,Yes,Yes,93.18,Medium,Yes,1
Scholarship Scheme 884,High School,Male,OBC,Muslim,Yes,Yes,No,52.17,Low,Yes,0
Scholarship Scheme 885,High School,All,SC,Christian,No,Yes,No,71.4,Medium,Yes,0
Scholarship Scheme 886,Undergraduate,All,General,Sikh,Yes,No,Yes,88.03,High,Yes,0
Scholarship Scheme 887,Undergraduate,Male,General,Hindu,Yes,Yes,Yes,97.56,Low,Yes,0
Scholarship Scheme 888,Postgraduate,All,OBC,Christian,No,Yes,No,99.18,High,Yes,0
Scholarship Scheme 889,High School,Female,SC,Muslim,Yes,No,Yes,71.06,High,Yes,0
Scholarship Scheme 890,Undergraduate,All,ST,Sikh,No,No,No,97.42,High,Yes,0
Scholarship Scheme 891,Doctorate,All,OBC,Muslim,Yes,No,No,51.77,High,Yes,1
Scholarship Scheme 892,Doctorate,Female,ST,Hindu,No,Yes,Yes,87.22,Low,Yes,0
Scholarship Scheme 893,Undergraduate,Female,OBC,Hindu,Yes,Yes,No,82.07,Low,Yes,0
Scholarship Scheme 894,Undergraduate,Female,OBC,Hindu,Yes,No,No,62.45,High,Yes,1
Scholarship Scheme 895,High School,Female,SC,Hindu,No,No,Yes,75.32,High,Yes,1
Scholarship Scheme 896,High School,All,SC,Hindu,Yes,No,Yes,56.46,Medium,Yes,1
Scholarship Scheme 897,Postgraduate,Female,ST,Muslim,No,Yes,No,93.49,High,Yes,0
Scholarship Scheme 898,High School,Female,ST,Hindu,No,No,Yes,67.86,Medium,Yes,0
Scholarship Scheme 899,Doctorate,Male,General,Hindu,No,Yes,No,81.24,Medium,Yes,0
Scholarship Scheme 900,Doctorate,Female,SC,Sikh,Yes,Yes,No,57.92,High,Yes,0
Scholarship Scheme 901,Undergraduate,Female,OBC,Hindu,Yes,Yes,No,60.29,Low,Yes,0
Scholarship Scheme 902,High School,Male,OBC,Sikh,Yes,Yes,No,99.5,Medium,Yes,0
Scholarship Scheme 903,Postgraduate,Male,General,Sikh,No,No,No,87.58,Low,Yes,1
Scholarship Scheme 904,Doctorate,All,SC,Sikh,No,No,No,98.0,High,Yes,0
Scholarship Scheme 905,Doctorate,Male,OBC,Muslim,No,No,Yes,64.76,High,Yes,0
Scholarship Scheme 906,Postgraduate,All,General,Muslim,Yes,Yes,Yes,58.21,High,Yes,1
Scholarship Scheme 907,Postgraduate,Male,General,Christian,No,No,Yes,75.1,High,Yes,1
Scholarship Scheme 908,Doctorate,Male,OBC,Christian,Yes,Yes,Yes,74.68,Medium,Yes,1
Scholarship Scheme 909,Doctorate,All,OBC,Sikh,Yes,Yes,No,58.73,Medium,Yes,0
Scholarship Scheme 910,Postgraduate,Male,ST,Muslim,Yes,Yes,No,86.59,Low,Yes,0
Scholarship Scheme 911,Doctorate,All,SC,Hindu,Yes,No,No,68.05,Low,Yes,0
Scholarship Scheme 912,Undergraduate,Male,ST,Christian,Yes,Yes,No,59.3,Medium,Yes,1
Scholarship Scheme 913,Undergraduate,Female,General,Muslim,Yes,Yes,No,66.57,High,Yes,0
Scholarship Scheme 914,Postgraduate,Male,OBC,Hindu,Yes,No,Yes,78.13,Low,Yes,0
Scholarship Scheme 915,High School,All,ST,Hindu,Yes,No,Yes,86.25,Medium,Yes,0
Scholarship Scheme 916,Postgraduate,Male,General,Muslim,No,No,Yes,74.05,Low,Yes,1
Scholarship Scheme 917,Postgraduate,All,SC,Christian,Yes,Yes,No,76.23,Medium,Yes,0
Scholarship Scheme 918,High School,All,OBC,Muslim,Yes,Yes,No,56.93,High,Yes,0
Scholarship Scheme 919,High School,Female,ST,Christian,No,No,Yes,95.64,Medium,Yes,0
Scholarship Scheme 920,High School,Female,SC,Sikh,No,Yes,No,96.34,Low,Yes,1
Scholarship Scheme 921,Undergraduate,All,ST,Muslim,No,Yes,No,84.1,Medium,Yes,1
Scholarship Scheme 922,Doctorate,Male,General,Muslim,No,No,Yes,50.88,Low,Yes,0
Scholarship Scheme 923,Undergraduate,All,SC,Christian,Yes,No,No,76.8,Low,Yes,0
Scholarship Scheme 924,Doctorate,All,ST,Christian,No,No,Yes,81.4,Low,Yes,0
Scholarship Scheme 925,Undergraduate,Male,SC,Muslim,No,No,Yes,99.63,High,Yes,0
Scholarship Scheme 926,Doctorate,Male,General,Hindu,No,No,Yes,99.7,High,Yes,0
Scholarship Scheme 927,Undergraduate,Male,SC,Hindu,No,No,Yes,92.79,Medium,Yes,1
Scholarship Scheme 928,High School,Male,ST,Hindu,Yes,No,No,53.19,Medium,Yes,0
Scholarship Scheme 929,Postgraduate,All,General,Sikh,No,No,No,97.57,Low,Yes,1
Scholarship Scheme 930,Undergraduate,All,OBC,Sikh,No,Yes,No,80.57,High,Yes,1
Scholarship Scheme 931,Doctorate,Female,ST,Christian,No,Yes,Yes,89.96,Medium,Yes,1
Scholarship Scheme 932,High School,All,ST,Sikh,No,Yes,No,70.32,Medium,Yes,0
Scholarship Scheme 933,Undergraduate,Male,General,Hindu,Yes,Yes,Yes,65.95,High,Yes,0
Scholarship Scheme 934,Undergraduate,Female,General,Muslim,No,Yes,No,73.12,Low,Yes,0
Scholarship Scheme 935,High School,Male,OBC,Sikh,No,Yes,No,57.33,Medium,Yes,0
Scholarship Scheme 936,Undergraduate,All,ST,Sikh,No,Yes,Yes,67.82,Low,Yes,1
Scholarship Scheme 937,Postgraduate,Female,General,Hindu,Yes,Yes,No,92.8,High,Yes,1
Scholarship Scheme 938,Undergraduate,Male,OBC,Sikh,No,Yes,Yes,51.89,High,Yes,0
Scholarship Scheme 939,Postgraduate,Female,OBC,Christian,No,Yes,Yes,57.53,Medium,Yes,0
Scholarship Scheme 940,Postgraduate,Female,General,Muslim,Yes,Yes,No,56.24,Medium,Yes,1
Scholarship Scheme 941,High School,All,ST,Hindu,No,No,No,70.11,High,Yes,0
Scholarship Scheme 942,Undergraduate,Male,SC,Christian,Yes,Yes,No,99.75,Low,Yes,0
Scholarship Scheme 943,High School,Female,SC,Hindu,Yes,No,No,58.65,Low,Yes,0
Scholarship Scheme 944,Undergraduate,Female,OBC,Christian,No,Yes,Yes,57.26,High,Yes,1
Scholarship Scheme 945,Undergraduate,Male,SC,Muslim,No,No,Yes,95.66,Medium,Yes,1
Scholarship Scheme 946,Doctorate,Female,SC,Muslim,Yes,Yes,No,94.01,High,Yes,1
Scholarship Scheme 947,Undergraduate,Female,General,Christian,Yes,No,No,51.61,Medium,Yes,0
Scholarship Scheme 948,High School,Female,OBC,Christian,No,Yes,No,87.51,Low,Yes,1
Scholarship Scheme 949,Postgraduate,Male,ST,Christian,Yes,No,Yes,82.71,Medium,Yes,0
Scholarship Scheme 950,Undergraduate,Male,OBC,Christian,Yes,Yes,No,88.31,Low,Yes,0
Scholarship Scheme 951,Doctorate,Male,General,Christian,No,No,Yes,74.68,High,Yes,0
Scholarship Scheme 952,High School,Male,SC,Christian,Yes,Yes,No,99.47,Medium,Yes,1
Scholarship Scheme 953,Undergraduate,All,ST,Muslim,Yes,No,No,52.19,Low,Yes,0
Scholarship Scheme 954,High School,Female,OBC,Christian,Yes,No,Yes,61.7,Medium,Yes,0
Scholarship Scheme 955,Doctorate,Male,SC,Sikh,Yes,No,Yes,69.79,Low,Yes,0
Scholarship Scheme 956,Doctorate,Female,OBC,Muslim,Yes,No,No,72.44,Low,Yes,1
Scholarship Scheme 957,High School,Female,ST,Hindu,Yes,No,Yes,95.98,High,Yes,1
Scholarship Scheme 958,Undergraduate,All,OBC,Muslim,No,No,Yes,77.94,High,Yes,1
Scholarship Scheme 959,Postgraduate,Male,OBC,Hindu,Yes,No,No,52.25,Medium,Yes,0
Scholarship Scheme 960,Doctorate,Male,OBC,Hindu,No,No,Yes,70.35,Low,Yes,1
Scholarship Scheme 961,Undergraduate,Female,SC,Sikh,No,Yes,Yes,70.78,High,Yes,1
Scholarship Scheme 962,Undergraduate,Male,ST,Christian,No,Yes,No,98.18,Medium,Yes,1
Scholarship Scheme 963,Postgraduate,Female,ST,Christian,No,Yes,No,79.9,High,Yes,0
Scholarship Scheme 964,Doctorate,Female,SC,Muslim,No,No,Yes,81.72,Medium,Yes,0
Scholarship Scheme 965,Doctorate,All,SC,Christian,No,No,No,85.59,High,Yes,1
Scholarship Scheme 966,Undergraduate,All,SC,Sikh,No,Yes,Yes,88.42,High,Yes,1
Scholarship Scheme 967,Undergraduate,All,General,Muslim,No,Yes,Yes,81.69,Low,Yes,0
Scholarship Scheme 968,Postgraduate,Female,OBC,Muslim,Yes,No,Yes,61.84,Low,Yes,0
Scholarship Scheme 969,Postgraduate,Male,OBC,Muslim,No,No,No,93.61,High,Yes,1
Scholarship Scheme 970,Doctorate,All,ST,Christian,No,Yes,Yes,86.53,Low,Yes,0
Scholarship Scheme 971,High School,Male,OBC,Christian,No,No,Yes,87.02,High,Yes,0
Scholarship Scheme 972,Doctorate,All,General,Christian,Yes,Yes,Yes,99.73,Medium,Yes,0
Scholarship Scheme 973,Undergraduate,All,SC,Muslim,No,No,No,90.05,High,Yes,0
Scholarship Scheme 974,Doctorate,Female,ST,Muslim,Yes,Yes,No,91.37,High,Yes,1
Scholarship Scheme 975,High School,All,ST,Hindu,No,Yes,No,97.48,Medium,Yes,0
Scholarship Scheme 976,Postgraduate,All,OBC,Hindu,No,No,Yes,57.54,Medium,Yes,0
Scholarship Scheme 977,High School,Female,ST,Christian,Yes,Yes,Yes,74.84,Low,Yes,0
Scholarship Scheme 978,High School,Male,SC,Muslim,No,No,No,78.97,Medium,Yes,1
Scholarship Scheme 979,High School,All,ST,Christian,Yes,No,Yes,66.43,Low,Yes,1
Scholarship Scheme 980,Postgraduate,Female,SC,Christian,Yes,No,Yes,91.89,High,Yes,1
Scholarship Scheme 981,High School,All,General,Hindu,No,No,Yes,88.04,Medium,Yes,1
Scholarship Scheme 982,High School,Female,General,Sikh,No,No,Yes,85.97,High,Yes,0
Scholarship Scheme 983,High School,Male,SC,Christian,Yes,Yes,No,99.76,Low,Yes,1
Scholarship Scheme 984,Undergraduate,Male,OBC,Sikh,Yes,No,No,62.94,Medium,Yes,1
Scholarship Scheme 985,High School,Female,ST,Sikh,No,No,No,86.7,Low,Yes,1
Scholarship Scheme 986,Postgraduate,Female,OBC,Muslim,No,Yes,Yes,77.52,Low,Yes,0
Scholarship Scheme 987,High School,Female,ST,Muslim,No,No,Yes,65.62,Medium,Yes,0
Scholarship Scheme 988,High School,Male,General,Christian,Yes,Yes,No,58.01,Medium,Yes,1
Scholarship Scheme 989,Postgraduate,All,General,Hindu,No,No,No,94.7,Low,Yes,0
Scholarship Scheme 990,High School,Male,General,Hindu,Yes,Yes,No,79.71,Medium,Yes,0
Scholarship Scheme 991,Postgraduate,Female,ST,Christian,No,No,Yes,91.16,Low,Yes,1
Scholarship Scheme 992,High School,Female,General,Christian,Yes,No,No,77.21,High,Yes,0
Scholarship Scheme 993,Postgraduate,Male,General,Hindu,Yes,No,Yes,60.98,High,Yes,1
Scholarship Scheme 994,High School,Female,General,Sikh,No,No,No,66.84,Medium,Yes,0
Scholarship Scheme 995,High School,Male,General,Christian,Yes,No,Yes,69.04,Medium,Yes,1
Scholarship Scheme 996,Undergraduate,Female,OBC,Sikh,Yes,Yes,Yes,98.55,High,Yes,0
Scholarship Scheme 997,Undergraduate,All,General,Christian,Yes,Yes,No,50.28,Low,Yes,1
Scholarship Scheme 998,High School,All,General,Christian,Yes,No,Yes,99.18,Low,Yes,0
Scholarship Scheme 999,High School,Female,OBC,Sikh,Yes,Yes,Yes,98.93,Low,Yes,1
Scholarship Scheme 1000,Doctorate,Male,OBC,Sikh,No,No,No,99.71,Medium,Yes,0
Scholarship Scheme 1001,Postgraduate,All,ST,Hindu,No,No,No,73.78,Low,Yes,0
Scholarship Scheme 1002,Doctorate,Male,SC,Christian,Yes,No,No,98.09,Medium,Yes,0
Scholarship Scheme 1003,Undergraduate,Female,General,Muslim,No,Yes,Yes,69.74,Medium,Yes,1
Scholarship Scheme 1004,Undergraduate,Male,General,Muslim,Yes,No,Yes,51.31,Medium,Yes,0
Scholarship Scheme 1005,Undergraduate,All,General,Christian,Yes,Yes,No,61.19,High,Yes,0
Scholarship Scheme 1006,Undergraduate,Male,ST,Christian,No,No,No,97.17,Low,Yes,0
Scholarship Scheme 1007,High School,Male,General,Christian,Yes,No,Yes,50.69,Medium,Yes,0
Scholarship Scheme 1008,Undergraduate,Female,SC,Sikh,Yes,Yes,No,77.25,Low,Yes,1
Scholarship Scheme 1009,High School,Female,OBC,Muslim,Yes,No,No,53.77,High,Yes,0
Scholarship Scheme 1010,High School,Female,ST,Muslim,No,Yes,Yes,64.29,Low,Yes,1
Scholarship Scheme 1011,Undergraduate,All,OBC,Muslim,No,No,Yes,54.4,High,Yes,0
Scholarship Scheme 1012,Undergraduate,All,General,Christian,Yes,No,No,92.89,Medium,Yes,0
Scholarship Scheme 1013,Postgraduate,Female,General,Sikh,Yes,No,Yes,79.49,Medium,Yes,0
Scholarship Scheme 1014,Doctorate,Female,General,Christian,Yes,Yes,Yes,95.02,High,Yes,0
Scholarship Scheme 1015,Undergraduate,All,SC,Hindu,Yes,No,No,84.35,Medium,Yes,0
Scholarship Scheme 1016,Postgraduate,All,SC,Hindu,Yes,Yes,No,98.45,Low,Yes,0
Scholarship Scheme 1017,Postgraduate,All,ST,Muslim,No,No,No,75.44,Low,Yes,1
Scholarship Scheme 1018,Doctorate,All,OBC,Christian,No,No,Yes,81.87,High,Yes,0
Scholarship Scheme 1019,High School,Female,General,Hindu,No,Yes,No,78.76,Low,Yes,0
Scholarship Scheme 1020,Undergraduate,All,General,Hindu,No,No,Yes,74.16,Medium,Yes,0
Scholarship Scheme 1021,Doctorate,Female,General,Christian,Yes,No,No,92.21,Medium,Yes,0
Scholarship Scheme 1022,Undergraduate,Male,General,Sikh,Yes,Yes,Yes,82.16,Medium,Yes,0
Scholarship Scheme 1023,Postgraduate,Male,SC,Christian,No,Yes,Yes,89.99,Low,Yes,0
Scholarship Scheme 1024,Postgraduate,All,OBC,Christian,No,Yes,No,89.24,Medium,Yes,1
Scholarship Scheme 1025,High School,Male,OBC,Sikh,Yes,No,Yes,59.53,Low,Yes,1
Scholarship Scheme 1026,Postgraduate,Male,ST,Muslim,No,Yes,No,82.44,High,Yes,1
Scholarship Scheme 1027,Postgraduate,Male,SC,Muslim,Yes,Yes,No,59.96,Medium,Yes,0
Scholarship Scheme 1028,Doctorate,All,General,Muslim,Yes,No,Yes,79.11,High,Yes,0
Scholarship Scheme 1029,Undergraduate,All,OBC,Sikh,Yes,Yes,Yes,83.8,Low,Yes,1
Scholarship Scheme 1030,Undergraduate,Male,OBC,Hindu,No,Yes,Yes,99.76,Low,Yes,1
Scholarship Scheme 1031,Doctorate,Female,SC,Sikh,No,No,No,51.52,High,Yes,0
Scholarship Scheme 1032,High School,Male,ST,Christian,No,Yes,No,54.55,Medium,Yes,0
Scholarship Scheme 1033,Undergraduate,All,ST,Sikh,No,No,No,53.84,Medium,Yes,0
Scholarship Scheme 1034,Postgraduate,All,General,Hindu,No,Yes,No,69.88,Medium,Yes,1
Scholarship Scheme 1035,Undergraduate,All,ST,Hindu,Yes,Yes,No,91.0,High,Yes,1
Scholarship Scheme 1036,Postgraduate,Male,OBC,Christian,No,No,No,92.12,Low,Yes,0
Scholarship Scheme 1037,High School,Female,ST,Muslim,Yes,Yes,Yes,86.78,High,Yes,0
Scholarship Scheme 1038,Doctorate,All,General,Hindu,Yes,No,No,94.75,Low,Yes,0
Scholarship Scheme 1039,Undergraduate,All,OBC,Hindu,Yes,Yes,No,66.11,Medium,Yes,0
Scholarship Scheme 1040,Doctorate,Male,ST,Hindu,No,Yes,No,54.4,Medium,Yes,0
Scholarship Scheme 1041,Undergraduate,Female,ST,Christian,No,No,No,52.9,Low,Yes,1
Scholarship Scheme 1042,Postgraduate,Male,SC,Hindu,No,No,Yes,92.52,Medium,Yes,0
Scholarship Scheme 1043,Doctorate,All,General,Muslim,No,Yes,Yes,86.45,High,Yes,1
Scholarship Scheme 1044,Undergraduate,Female,ST,Christian,No,Yes,Yes,84.86,Low,Yes,0
Scholarship Scheme 1045,Postgraduate,Female,SC,Muslim,No,Yes,No,66.95,Medium,Yes,1
Scholarship Scheme 1046,Doctorate,All,OBC,Hindu,No,No,No,68.96,Medium,Yes,1
Scholarship Scheme 1047,Doctorate,Female,SC,Hindu,No,No,No,97.81,Medium,Yes,0
Scholarship Scheme 1048,Undergraduate,Female,SC,Muslim,Yes,Yes,Yes,53.18,Medium,Yes,1
Scholarship Scheme 1049,Undergraduate,Male,ST,Christian,No,Yes,No,88.61,Low,Yes,0
Scholarship Scheme 1050,Undergraduate,All,ST,Christian,Yes,Yes,No,65.45,Low,Yes,0
Scholarship Scheme 1051,Postgraduate,All,ST,Muslim,Yes,No,Yes,51.95,Medium,Yes,0
Scholarship Scheme 1052,Undergraduate,All,SC,Hindu,Yes,Yes,Yes,87.05,High,Yes,0
Scholarship Scheme 1053,Doctorate,All,OBC,Sikh,Yes,No,No,66.51,High,Yes,1
Scholarship Scheme 1054,Doctorate,All,General,Muslim,No,No,Yes,86.04,High,Yes,0
Scholarship Scheme 1055,Undergraduate,Female,SC,Muslim,No,Yes,No,85.31,High,Yes,1
Scholarship Scheme 1056,Undergraduate,Male,ST,Muslim,Yes,No,No,76.69,Low,Yes,1
Scholarship Scheme 1057,High School,All,General,Hindu,Yes,No,Yes,88.79,Low,Yes,0
Scholarship Scheme 1058,Doctorate,Male,OBC,Christian,Yes,Yes,No,78.99,High,Yes,0
Scholarship Scheme 1059,Postgraduate,Male,General,Hindu,No,Yes,Yes,64.3,Low,Yes,0
Scholarship Scheme 1060,High School,Female,ST,Muslim,Yes,Yes,Yes,86.63,High,Yes,0
Scholarship Scheme 1061,Undergraduate,All,SC,Hindu,Yes,Yes,No,79.4,Medium,Yes,0
Scholarship Scheme 1062,Undergraduate,Female,SC,Hindu,No,Yes,Yes,50.64,Medium,Yes,1
Scholarship Scheme 1063,Doctorate,All,ST,Muslim,Yes,Yes,No,94.99,High,Yes,0
Scholarship Scheme 1064,Undergraduate,Female,SC,Hindu,No,Yes,No,77.23,Low,Yes,1
Scholarship Scheme 1065,Postgraduate,Male,ST,Sikh,No,No,Yes,93.34,High,Yes,0
Scholarship Scheme 1066,Doctorate,All,SC,Hindu,Yes,Yes,Yes,94.05,Low,Yes,0
Scholarship Scheme 1067,Undergraduate,Male,SC,Hindu,Yes,Yes,Yes,72.2,Medium,Yes,0
Scholarship Scheme 1068,Doctorate,Male,SC,Christian,Yes,Yes,No,75.33,Low,Yes,0
Scholarship Scheme 1069,Undergraduate,Female,OBC,Christian,No,Yes,No,70.75,High,Yes,0
Scholarship Scheme 1070,Undergraduate,All,OBC,Muslim,No,Yes,No,72.43,Medium,Yes,1
Scholarship Scheme 1071,Undergraduate,Male,ST,Muslim,No,Yes,No,94.67,Medium,Yes,1
Scholarship Scheme 1072,Postgraduate,Female,OBC,Christian,Yes,No,No,89.33,Low,Yes,0
Scholarship Scheme 1073,Postgraduate,All,ST,Sikh,Yes,Yes,No,56.31,Medium,Yes,1
Scholarship Scheme 1074,Doctorate,All,General,Hindu,Yes,No,No,80.45,Medium,Yes,0
Scholarship Scheme 1075,Undergraduate,Male,General,Sikh,Yes,Yes,Yes,99.7,Low,Yes,0
Scholarship Scheme 1076,Undergraduate,All,OBC,Sikh,Yes,No,No,79.72,Medium,Yes,1
Scholarship Scheme 1077,Postgraduate,Male,General,Christian,Yes,No,No,89.21,High,Yes,1
Scholarship Scheme 1078,Undergraduate,All,General,Muslim,No,No,Yes,88.38,Low,Yes,1
Scholarship Scheme 1079,Postgraduate,Female,SC,Hindu,No,Yes,No,67.48,Low,Yes,0
Scholarship Scheme 1080,Undergraduate,Male,SC,Muslim,No,Yes,No,68.56,Low,Yes,1
Scholarship Scheme 1081,Doctorate,Male,ST,Sikh,Yes,Yes,Yes,86.13,Low,Yes,1
Scholarship Scheme 1082,Undergraduate,All,General,Sikh,No,Yes,No,74.95,High,Yes,0
Scholarship Scheme 1083,Undergraduate,All,ST,Muslim,No,Yes,Yes,78.47,Low,Yes,1
Scholarship Scheme 1084,High School,Male,ST,Muslim,No,Yes,No,85.57,High,Yes,1
Scholarship Scheme 1085,Postgraduate,All,General,Christian,Yes,No,No,88.8,Low,Yes,1
Scholarship Scheme 1086,Undergraduate,Female,OBC,Muslim,Yes,No,Yes,63.55,Low,Yes,1
Scholarship Scheme 1087,Undergraduate,All,General,Muslim,No,No,Yes,57.33,Medium,Yes,0
Scholarship Scheme 1088,High School,Female,SC,Christian,Yes,Yes,No,64.56,Medium,Yes,1
Scholarship Scheme 1089,High School,Female,General,Muslim,Yes,Yes,No,75.33,High,Yes,0
Scholarship Scheme 1090,Postgraduate,Female,OBC,Sikh,Yes,No,Yes,67.07,Medium,Yes,1
Scholarship Scheme 1091,High School,Female,ST,Muslim,Yes,Yes,No,78.36,Low,Yes,0
Scholarship Scheme 1092,Doctorate,Female,ST,Hindu,No,Yes,Yes,52.67,High,Yes,1
Scholarship Scheme 1093,High School,All,SC,Sikh,Yes,Yes,Yes,75.44,Medium,Yes,0
Scholarship Scheme 1094,Doctorate,Female,SC,Christian,No,No,Yes,68.36,Low,Yes,1
Scholarship Scheme 1095,Postgraduate,All,SC,Sikh,No,No,No,76.68,Medium,Yes,0
Scholarship Scheme 1096,Postgraduate,Female,ST,Christian,Yes,Yes,No,71.08,Medium,Yes,0
Scholarship Scheme 1097,Postgraduate,Male,SC,Hindu,Yes,No,No,64.18,Medium,Yes,1
Scholarship Scheme 1098,Postgraduate,Female,General,Hindu,Yes,No,Yes,95.11,Medium,Yes,0
Scholarship Scheme 1099,Postgraduate,Male,ST,Sikh,No,Yes,No,59.22,Low,Yes,0
Scholarship Scheme 1100,Doctorate,Female,OBC,Muslim,No,Yes,Yes,84.0,Medium,Yes,0
Scholarship Scheme 1101,Doctorate,Female,ST,Sikh,No,No,Yes,96.14,High,Yes,0
Scholarship Scheme 1102,Postgraduate,Female,General,Sikh,No,No,No,76.88,High,Yes,0
Scholarship Scheme 1103,High School,Male,General,Hindu,No,Yes,No,93.73,Medium,Yes,0
Scholarship Scheme 1104,Undergraduate,Male,SC,Christian,No,Yes,Yes,56.23,High,Yes,0
Scholarship Scheme 1105,Postgraduate,Female,ST,Sikh,No,Yes,No,74.64,Medium,Yes,1
Scholarship Scheme 1106,High School,All,ST,Muslim,Yes,No,Yes,72.81,Low,Yes,1
Scholarship Scheme 1107,Undergraduate,Female,ST,Hindu,No,No,No,50.41,Low,Yes,1
Scholarship Scheme 1108,Postgraduate,Male,OBC,Sikh,No,Yes,Yes,72.12,High,Yes,0
Scholarship Scheme 1109,Postgraduate,Female,SC,Sikh,No,Yes,No,68.41,High,Yes,1
Scholarship Scheme 1110,Doctorate,Male,General,Muslim,No,Yes,Yes,83.42,Medium,Yes,0
Scholarship Scheme 1111,Undergraduate,Male,General,Sikh,Yes,Yes,No,96.82,Medium,Yes,1
Scholarship Scheme 1112,Undergraduate,Male,SC,Sikh,No,No,Yes,54.28,Medium,Yes,0
Scholarship Scheme 1113,High School,Female,General,Sikh,No,Yes,Yes,66.34,Low,Yes,0
Scholarship Scheme 1114,Doctorate,Male,General,Sikh,Yes,Yes,Yes,72.16,Medium,Yes,1
Scholarship Scheme 1115,Doctorate,Male,SC,Muslim,Yes,No,Yes,72.71,Low,Yes,0
Scholarship Scheme 1116,Doctorate,Female,General,Sikh,No,Yes,Yes,88.66,High,Yes,1
Scholarship Scheme 1117,Doctorate,Male,ST,Sikh,No,No,Yes,72.13,Low,Yes,1
Scholarship Scheme 1118,Undergraduate,Female,OBC,Sikh,No,No,No,51.36,High,Yes,0
Scholarship Scheme 1119,Undergraduate,Male,SC,Hindu,No,No,Yes,85.43,Low,Yes,1
Scholarship Scheme 1120,Postgraduate,All,OBC,Muslim,No,Yes,Yes,94.15,Low,Yes,0
Scholarship Scheme 1121,Postgraduate,All,General,Hindu,No,No,No,75.64,Medium,Yes,0
Scholarship Scheme 1122,Doctorate,Male,General,Hindu,Yes,Yes,No,79.0,High,Yes,0
Scholarship Scheme 1123,Doctorate,All,ST,Muslim,Yes,No,Yes,58.13,Low,Yes,0
Scholarship Scheme 1124,Doctorate,Female,SC,Hindu,No,No,No,61.01,Low,Yes,0
Scholarship Scheme 1125,Postgraduate,All,General,Hindu,No,No,No,61.73,High,Yes,0
Scholarship Scheme 1126,High School,Male,SC,Hindu,No,Yes,Yes,71.49,Low,Yes,0
Scholarship Scheme 1127,High School,Male,SC,Muslim,Yes,Yes,Yes,96.31,High,Yes,0
Scholarship Scheme 1128,Postgraduate,Female,SC,Sikh,No,No,No,76.04,High,Yes,1
Scholarship Scheme 1129,Postgraduate,Male,SC,Christian,Yes,Yes,No,59.59,High,Yes,0
Scholarship Scheme 1130,Postgraduate,Female,SC,Christian,Yes,No,No,63.28,Low,Yes,0
Scholarship Scheme 1131,Postgraduate,All,OBC,Muslim,No,No,No,69.16,Low,Yes,0
Scholarship Scheme 1132,Postgraduate,All,ST,Christian,Yes,No,No,81.1,Medium,Yes,0
Scholarship Scheme 1133,Postgraduate,Female,SC,Muslim,No,No,No,71.96,High,Yes,1
Scholarship Scheme 1134,Doctorate,Female,OBC,Muslim,Yes,Yes,Yes,69.58,Low,Yes,1
Scholarship Scheme 1135,Doctorate,Male,General,Christian,No,No,No,78.18,Low,Yes,1
Scholarship Scheme 1136,Doctorate,All,SC,Hindu,No,Yes,Yes,62.07,High,Yes,0
Scholarship Scheme 1137,Doctorate,Female,General,Sikh,Yes,No,Yes,53.94,High,Yes,1
Scholarship Scheme 1138,Postgraduate,All,SC,Christian,Yes,No,No,51.22,High,Yes,1
Scholarship Scheme 1139,High School,Female,OBC,Christian,Yes,No,Yes,62.54,Medium,Yes,0
Scholarship Scheme 1140,Undergraduate,All,OBC,Christian,No,No,No,54.57,Medium,Yes,0
Scholarship Scheme 1141,Postgraduate,Male,OBC,Christian,Yes,No,Yes,66.78,Medium,Yes,0
Scholarship Scheme 1142,Undergraduate,All,ST,Muslim,Yes,Yes,No,88.57,High,Yes,1
Scholarship Scheme 1143,High School,All,General,Muslim,No,Yes,Yes,85.74,Low,Yes,0
Scholarship Scheme 1144,Doctorate,All,ST,Sikh,No,No,No,80.49,High,Yes,1
Scholarship Scheme 1145,High School,All,SC,Sikh,Yes,Yes,Yes,92.54,Low,Yes,0
Scholarship Scheme 1146,Postgraduate,All,General,Christian,Yes,Yes,No,64.08,Medium,Yes,1
Scholarship Scheme 1147,Doctorate,Male,OBC,Christian,Yes,No,Yes,94.16,Medium,Yes,0
Scholarship Scheme 1148,Postgraduate,Female,General,Christian,No,No,Yes,69.92,Medium,Yes,1
Scholarship Scheme 1149,Doctorate,All,OBC,Sikh,No,No,Yes,70.0,Low,Yes,1
